Mevlana Caddesi, Karatay, Konya, Türkiye
Ankara Caddesi, Karatay, Konya, Türkiye
Fetih Caddesi, Karatay, Konya, Türkiye
İstanbul Caddesi, Selçuklu, Konya, Türkiye
Nalçacı Caddesi, Selçuklu, Konya, Türkiye
Kule Caddesi, Selçuklu, Konya, Türkiye
Sille Caddesi, Selçuklu, Konya, Türkiye
Beyşehir Caddesi, Meram, Konya, Türkiye
Yeni Meram Caddesi, Meram, Konya, Türkiye
Larende Caddesi, Meram, Konya, Türkiye
Şefik Can Caddesi, Selçuklu, Konya, Türkiye
Barış Caddesi, Selçuklu, Konya, Türkiye
Veysel Karani Caddesi, Selçuklu, Konya, Türkiye
Dr. Sadık Ahmet Caddesi, Selçuklu, Konya, Türkiye
Doç. Dr. Halil Ürün Caddesi, Selçuklu, Konya, Türkiye
Adana Çevre Yolu, Karatay, Konya, Türkiye
Ereğli Yolu, Karatay, Konya, Türkiye
Karaman Yolu, Meram, Konya, Türkiye
Antalya Çevre Yolu, Meram, Konya, Türkiye
Hatip Caddesi, Meram, Konya, Türkiye
Azerbaycan Caddesi, Meram, Konya, Türkiye
Gazze Caddesi, Meram, Konya, Türkiye
Kerkük Caddesi, Selçuklu, Konya, Türkiye
Bosna Hersek Mahallesi, Selçuklu, Konya, Türkiye
Yazır Mahallesi, Selçuklu, Konya, Türkiye
