idx,id,type,lat,lon,address
0,D1,depot,37.950488500000006,32.5094715010274,"﻿Konya Otogarı, Yazır Mahallesi, Selçuklu, Konya, Türkiye"
1,C1,customer,37.8714385,32.5017184,"Mevlana Caddesi, Karatay, Konya, Türkiye"
2,C2,customer,37.9145754,32.5183514,"Ankara Caddesi, Karatay, Konya, Türkiye"
3,C3,customer,37.8700697,32.5259819,"Fetih Caddesi, Karatay, Konya, Türkiye"
4,C4,customer,38.0131993,32.5177433,"İstanbul Caddesi, Selçuklu, Konya, Türkiye"
5,C5,customer,37.8814483,32.4891309,"Nalçacı Caddesi, Selçuklu, Konya, Türkiye"
6,C6,customer,37.8873932,32.4946064,"Kule Caddesi, Selçuklu, Konya, Türkiye"
7,C7,customer,37.8880832,32.48393,"Sille Caddesi, Selçuklu, Konya, Türkiye"
8,C8,customer,37.8792512,32.4568394,"Beyşehir Caddesi, Meram, Konya, Türkiye"
9,C9,customer,37.8702573,32.4763061,"Yeni Meram Caddesi, Meram, Konya, Türkiye"
10,C10,customer,37.8647325,32.4860526,"Larende Caddesi, Meram, Konya, Türkiye"
11,C11,customer,37.8875696,32.4614585,"Şefik Can Caddesi, Selçuklu, Konya, Türkiye"
12,C12,customer,37.9425856,32.4930479,"Barış Caddesi, Selçuklu, Konya, Türkiye"
13,C13,customer,38.0013751,32.5265211,"Veysel Karani Caddesi, Selçuklu, Konya, Türkiye"
14,C14,customer,37.948219,32.5213933,"Dr. Sadık Ahmet Caddesi, Selçuklu, Konya, Türkiye"
15,C15,customer,37.9481431,32.5018857,"Doç. Dr. Halil Ürün Caddesi, Selçuklu, Konya, Türkiye"
16,C16,customer,37.8734286,32.5483514,"Adana Çevre Yolu, Karatay, Konya, Türkiye"
17,C17,customer,37.8695013,32.5476154,"Ereğli Yolu, Karatay, Konya, Türkiye"
18,C18,customer,37.792317,32.5245202,"Karaman Yolu, Meram, Konya, Türkiye"
19,C19,customer,37.8281372,32.5037955,"Antalya Çevre Yolu, Meram, Konya, Türkiye"
20,C20,customer,37.8258814,32.4453164,"Hatip Caddesi, Meram, Konya, Türkiye"
21,C21,customer,37.8514323,32.462554,"Azerbaycan Caddesi, Meram, Konya, Türkiye"
22,C22,customer,37.8505447,32.4733075,"Gazze Caddesi, Meram, Konya, Türkiye"
23,C23,customer,37.8866433,32.4888116,"Kerkük Caddesi, Selçuklu, Konya, Türkiye"
24,C24,customer,38.0102977,32.5270011,"Bosna Hersek Mahallesi, Selçuklu, Konya, Türkiye"
25,C25,customer,37.9664469,32.5093094,"Yazır Mahallesi, Selçuklu, Konya, Türkiye"
