idx,id,type,lat,lon,address
0,D1,depot,41.03795465,28.98520339153631,"Taksim Square, Beyoglu, Istanbul, Turkiye"
1,C1,customer,41.031329299999996,28.975244462335034,"Asmali Mescit Mahallesi, Beyoglu, Istanbul, Turkiye"
2,C2,customer,41.0330402,28.9853187,"Cihangir Mahallesi, Beyoglu, Istanbul, Turkiye"
3,C4,customer,41.048673300000004,28.962251859711046,"Piyalepasa Mahallesi, Beyoglu, Istanbul, Turkiye"
4,C5,customer,41.03687695,28.975524536382128,"Kalyoncu Kullugu Mahallesi, Beyoglu, Istanbul, Turkiye"
5,C6,customer,41.04224735,28.973888606407392,"Haciahmet Mahallesi, Beyoglu, Istanbul, Turkiye"
6,C7,customer,41.0222757,28.9771726,"Karakoy Mahallesi, Beyoglu, Istanbul, Turkiye"
7,C8,customer,41.0298852,28.980814355568736,"Firuzaga Mahallesi, Beyoglu, Istanbul, Turkiye"
8,C9,customer,41.0252857,28.9727922,"Galata Mahallesi, Beyoglu, Istanbul, Turkiye"
9,C10,customer,41.0376925,28.9607963,"Kulaksiz Mahallesi, Beyoglu, Istanbul, Turkiye"
10,C11,customer,41.0519368,28.9966371,"Tesvikiye Mahallesi, Sisli, Istanbul, Turkiye"
11,C12,customer,41.0452381,28.9910139,"Harbiye Mahallesi, Sisli, Istanbul, Turkiye"
12,C13,customer,41.0709488,28.9967005,"Mecidiyekoy Mahallesi, Sisli, Istanbul, Turkiye"
13,C14,customer,41.0514835,28.9888479,"Halaskargazi Mahallesi, Sisli, Istanbul, Turkiye"
14,C15,customer,41.0615393,28.9682419,"Okmeydani Mahallesi, Sisli, Istanbul, Turkiye"
15,C16,customer,41.0598652,28.9914441,"19 Mayis Mahallesi, Sisli, Istanbul, Turkiye"
16,C17,customer,41.0489803,28.9864057,"Ergenekon Mahallesi, Sisli, Istanbul, Turkiye"
17,C18,customer,41.0525016,28.965487,"Mahmut Sevket Pasa Mahallesi, Sisli, Istanbul, Turkiye"
18,C20,customer,41.0438743,28.9844034,"Inonu Mahallesi, Sisli, Istanbul, Turkiye"
19,C22,customer,41.0840093,29.0366077,"Etiler Mahallesi, Besiktas, Istanbul, Turkiye"
20,C23,customer,41.0815723,29.0169502,"Levent Mahallesi, Besiktas, Istanbul, Turkiye"
21,C24,customer,41.0790159,29.0439589,"Bebek Mahallesi, Besiktas, Istanbul, Turkiye"
22,C25,customer,41.0683942,29.0411538,"Arnavutkoy Mahallesi, Besiktas, Istanbul, Turkiye"
23,C26,customer,41.0858575,29.026253,"Akat Mahallesi, Besiktas, Istanbul, Turkiye"
24,C27,customer,41.0546272,29.0281901,"Ortakoy Mahallesi, Besiktas, Istanbul, Turkiye"
25,C28,customer,41.0653097,29.026286164265805,"Ulus Mahallesi, Besiktas, Istanbul, Turkiye"
26,C29,customer,41.0479707,29.0145236,"Yildiz Mahallesi, Besiktas, Istanbul, Turkiye"
27,C30,customer,41.0428133,29.0048711,"Sinanpasa Mahallesi, Besiktas, Istanbul, Turkiye"
